"game_id","game_date","season"
"utah-royals-vs-portland-thorns-2018-04-28",2018-04-28,2018
"washington-spirit-vs-north-carolina-courage-2018-04-14",2018-04-14,2018
"north-carolina-courage-vs-portland-thorns-2018-03-24",2018-03-24,2018
"orlando-pride-vs-chicago-red-stars-2018-08-25",2018-08-25,2018
"washington-spirit-vs-utah-royals-2018-08-22",2018-08-22,2018
"utah-royals-vs-washington-spirit-2018-05-05",2018-05-05,2018
"houston-dash-vs-utah-royals-2018-03-30",2018-03-30,2018
"north-carolina-courage-vs-utah-royals-2018-06-16",2018-06-16,2018
"reign-vs-orlando-pride-2018-06-03",2018-06-03,2018
"sky-blue-vs-reign-2018-04-15",2018-04-15,2018
"chicago-red-stars-vs-portland-thorns-2018-06-16",2018-06-16,2018
"portland-thorns-vs-sky-blue-2018-08-22",2018-08-22,2018
"north-carolina-courage-vs-orlando-pride-2018-08-19",2018-08-19,2018
"orlando-pride-vs-sky-blue-2018-08-05",2018-08-05,2018
"sky-blue-vs-north-carolina-courage-2018-07-14",2018-07-14,2018
"reign-vs-utah-royals-2018-07-11",2018-07-11,2018
"houston-dash-vs-washington-spirit-2018-08-17",2018-08-17,2018
"portland-thorns-vs-utah-royals-2018-07-06",2018-07-06,2018
"houston-dash-vs-north-carolina-courage-2018-06-03",2018-06-03,2018
"portland-thorns-vs-chicago-red-stars-2018-08-18",2018-08-18,2018
"reign-vs-sky-blue-2018-05-12",2018-05-12,2018
"houston-dash-vs-portland-thorns-2018-05-09",2018-05-09,2018
"washington-spirit-vs-chicago-red-stars-2018-06-02",2018-06-02,2018
"chicago-red-stars-vs-orlando-pride-2018-05-26",2018-05-26,2018
"houston-dash-vs-reign-2018-05-23",2018-05-23,2018
"reign-vs-houston-dash-2018-07-07",2018-07-07,2018
"washington-spirit-vs-chicago-red-stars-2018-04-28",2018-04-28,2018
"reign-vs-washington-spirit-2018-03-24",2018-03-24,2018
"north-carolina-courage-vs-sky-blue-2018-03-31",2018-03-31,2018
"washington-spirit-vs-portland-thorns-2018-08-25",2018-08-25,2018
"chicago-red-stars-vs-washington-spirit-2018-07-01",2018-07-01,2018
"portland-thorns-vs-reign-2018-05-05",2018-05-05,2018
"sky-blue-vs-orlando-pride-2018-09-08",2018-09-08,2018
"utah-royals-vs-north-carolina-courage-2018-07-20",2018-07-20,2018
"chicago-red-stars-vs-north-carolina-courage-2018-08-10",2018-08-10,2018
"chicago-red-stars-vs-sky-blue-2018-09-04",2018-09-04,2018
"orlando-pride-vs-washington-spirit-2018-07-07",2018-07-07,2018
